"variable","libelle","dimension","sens"
"nb_etab","Nombre d'établissements scolaires","Couverture","+"
"nb_prescolaire","Jardins d'enfants (préscolaire)","Couverture","+"
"nb_primaire","Écoles primaires","Couverture","+"
"nb_college","Collèges","Couverture","+"
"nb_lycee","Lycées","Couverture","+"
"nb_creches","Crèches recensées","Couverture","+"
"densite_etab_100km2","Établissements pour 100 km²","Couverture","+"
"completude_offre","Complétude du cycle éducatif (%)","Couverture","+"
"jardins_100_primaires","Jardins d'enfants pour 100 écoles primaires","Couverture","+"
"pct_public","Part d'établissements sur domaine public (%)","Couverture","+"
"toilettes_100_etab","Points de toilettes pour 100 établissements","Infrastructures","+"
"pct_toilettes_ameliorees","Toilettes améliorées (WC / eau) (%)","Infrastructures","+"
"pct_batiments_recents","Bâtiments construits depuis 2010 (%)","Infrastructures","+"
"batiments_par_etab","Bâtiments recensés par établissement","Infrastructures","+"
"pct_terrain_sport","Établissements avec terrain de sport (%)","Infrastructures","+"
"biblio_100_etab","Bibliothèques pour 100 établissements","Infrastructures","+"
"enseignants_prescolaire","Enseignants du préscolaire","Enseignants","+"
"ens_100_jardins","Enseignants pour 100 jardins d'enfants","Enseignants","+"
"enseignants_100_etab","Enseignants du préscolaire pour 100 établissements","Enseignants","+"
