"region","prefecture","commune","nb_etab","nb_prescolaire","nb_primaire","nb_college","nb_lycee","pct_public","pct_terrain_sport","completude_offre","nb_creches","nb_toilettes","nb_batiments","nb_terrains_sport","nb_bibliotheques","pct_toilettes_ameliorees","pct_batiments_recents","toilettes_100_etab","batiments_par_etab","biblio_100_etab","jardins_100_primaires","enseignants_prescolaire","superficie_km2","densite_etab_100km2","ens_100_jardins","enseignants_100_etab"
"Centrale","Blitta","Blitta 1",166,54,85,19,8,68.1,31.3,100,0,188,319,52,0,22.9,50.8,113.3,1.92,0,63.5,116.1,880.9,18.8,215,69.9
"Centrale","Blitta","Blitta 2",120,38,69,12,1,76.7,40,100,0,113,244,47,0,31.9,59.4,94.2,2.03,0,55.1,81.7,789.6,15.2,215,68.1
"Centrale","Blitta","Blitta 3",132,41,70,18,3,68.9,28,100,0,65,227,33,0,46.2,67.2,49.2,1.72,0,58.6,88.2,1443.7,9.1,215.1,66.8
"Centrale","Mô","Mô 1",65,20,36,6,3,93.8,40,100,0,47,115,20,0,59.6,78,72.3,1.77,0,55.6,35,1325.9,4.9,175,53.8
"Centrale","Mô","Mô 2",39,12,23,3,1,84.6,51.3,100,0,32,68,15,0,25,77.2,82.1,1.74,0,52.2,21,584.8,6.7,175,53.8
"Centrale","Sotouboua","Sotouboua 1",108,38,55,10,5,72.2,41.7,100,0,70,207,48,0,40,39.7,64.8,1.92,0,69.1,107.8,790.1,13.7,283.7,99.8
"Centrale","Sotouboua","Sotouboua 2",175,59,89,18,9,80.6,41.6,100,0,138,327,62,0,34.1,57.9,78.9,1.87,0,66.3,167.3,1277.7,13.7,283.6,95.6
"Centrale","Sotouboua","Sotouboua 3",61,19,33,6,3,68.9,49.2,100,0,48,118,23,0,12.5,52,78.7,1.93,0,57.6,53.9,474.4,12.9,283.7,88.4
"Centrale","Tchamba","Tchamba 1",136,27,83,21,5,66.2,35.3,100,0,112,285,41,0,28.6,65.9,82.4,2.1,0,32.5,76.1,908.7,15,281.9,56
"Centrale","Tchamba","Tchamba 2",99,13,68,15,3,79.8,45.9,100,0,70,237,36,0,28.6,68.3,70.7,2.39,0,19.1,36.7,1194.5,8.3,282.3,37.1
"Centrale","Tchamba","Tchamba 3",89,10,63,13,3,71.9,34.8,100,0,61,187,26,0,24.6,61.5,68.5,2.1,0,15.9,28.2,970.7,9.2,282,31.7
"Centrale","Tchaoudjo","Tchaoudjo 1",369,89,195,59,26,56.1,33.8,100,0,255,733,113,0,56.1,48.3,69.1,1.99,0,45.6,299.5,1211.7,30.5,336.5,81.2
"Centrale","Tchaoudjo","Tchaoudjo 2",51,15,28,6,2,76.5,49,100,0,40,99,26,0,22.5,51.4,78.4,1.94,0,53.6,50.5,318,16,336.7,99
"Centrale","Tchaoudjo","Tchaoudjo 3",46,13,26,6,1,67.4,37,100,0,54,84,22,0,42.6,56.3,117.4,1.83,0,50,43.7,613,7.5,336.2,95
"Centrale","Tchaoudjo","Tchaoudjo 4",44,9,26,7,2,81.8,29.5,100,0,52,82,18,0,36.5,53.4,118.2,1.86,0,34.6,30.3,506.4,8.7,336.7,68.9
