"region","prefecture","nb_etab","nb_prescolaire","nb_primaire","nb_college","nb_lycee","pct_public","pct_terrain_sport","completude_offre","nb_creches","nb_toilettes","nb_batiments","nb_terrains_sport","nb_bibliotheques","pct_toilettes_ameliorees","pct_batiments_recents","toilettes_100_etab","batiments_par_etab","biblio_100_etab","jardins_100_primaires","enseignants_prescolaire","superficie_km2","densite_etab_100km2","ens_100_jardins","enseignants_100_etab"
"Centrale","Blitta",418,133,224,49,12,70.8,32.8,100,0,366,790,132,0,29.8,58.3,87.6,1.89,0,59.4,286,3114.2,13.4,215,68.4
"Centrale","Mô",104,32,59,9,4,90.4,44.2,100,0,79,183,35,0,45.6,77.7,76,1.76,0,54.2,56,1909.9,5.4,175,53.8
"Centrale","Sotouboua",344,116,177,34,17,75.9,43,100,0,256,652,133,0,31.6,51.1,74.4,1.9,0,65.5,329,2541.9,13.5,283.6,95.6
"Centrale","Tchamba",324,50,214,49,11,71.9,38.4,100,0,243,709,103,0,27.6,65.5,75,2.19,0,23.4,141,3073.4,10.5,282,43.5
"Centrale","Tchaoudjo",510,126,275,78,31,61.4,35.2,100,0,401,998,179,0,48.4,49.9,78.6,1.96,0,45.8,424,2650.1,19.2,336.5,83.1
"Kara","Assoli",130,35,69,19,7,43.1,40,100,0,100,243,49,0,40,42.3,76.9,1.87,0,50.7,80,820.3,15.8,228.6,61.5
"Kara","Bassar",339,107,191,34,7,85.5,38.2,100,0,205,564,130,0,52.2,60.3,60.5,1.66,0,56,186,3320.5,10.2,173.8,54.9
"Kara","Binah",208,75,102,20,11,84.1,41.5,100,0,142,346,79,0,43.7,54.9,68.3,1.66,0,73.5,156,554.8,37.5,208,75
"Kara","Dankpen",329,104,188,30,7,68.4,45.9,100,0,188,545,124,0,33.5,65.2,57.1,1.66,0,55.3,188,2665.6,12.3,180.8,57.1
"Kara","Doufelgou",201,64,108,19,10,80.1,43.2,100,0,140,360,64,0,43.6,44.8,69.7,1.79,0,59.3,115,1173.4,17.1,179.7,57.2
"Kara","Kozah",544,167,258,78,41,55,41.9,100,0,406,1056,226,0,54.7,41,74.6,1.94,0,64.7,365,1191.2,45.7,218.6,67.1
"Kara","Kéran",201,60,118,16,7,78.6,41.3,100,0,146,374,69,0,32.2,53.9,72.6,1.86,0,50.8,88,1767.7,11.4,146.7,43.8
"Maritime","Agoè-Nyivé",1358,374,577,308,99,12.8,13.4,100,3,801,1782,66,0,77,68.6,59,1.31,0,64.8,646,199.7,680,172.7,47.6
"Maritime","Avé",312,77,168,52,15,24.7,38.6,100,0,177,580,79,0,24.3,60.6,56.7,1.86,0,45.8,101,1000.1,31.2,131.2,32.4
"Maritime","Bas-Mono",252,55,149,40,8,68.7,44.4,100,0,216,505,98,0,32.9,58,85.7,2,0,36.9,51,409.7,61.5,92.7,20.2
"Maritime","Golfe",2403,732,1039,489,143,15.5,11.2,100,30,1658,3050,145,0,85.3,44.5,69,1.27,0,70.5,1064,221.9,1082.9,145.4,44.3
"Maritime","Lacs",447,127,222,68,30,36.2,25.9,100,0,310,769,89,0,59.7,48.5,69.4,1.72,0,57.2,162,375.5,119,127.6,36.2
"Maritime","Vo",476,105,281,68,22,53.8,38,100,0,350,1006,151,0,47.4,54.2,73.5,2.11,0,37.4,170,774.8,61.4,161.9,35.7
"Maritime","Yoto",372,64,238,54,16,54,53.8,100,0,212,845,164,0,55.2,61.4,57,2.27,0,26.9,112,1199.6,31,175,30.1
"Maritime","Zio",1034,271,533,173,57,44.6,32.3,100,0,527,1886,160,0,40,67.2,51,1.82,0,50.8,396,2150.1,48.1,146.1,38.3
"Plateaux","Agou",218,66,125,21,6,65.1,35.8,100,0,122,378,78,0,51.6,41.1,56,1.73,0,52.8,97,971.6,22.4,147,44.5
"Plateaux","Akébou",201,69,103,24,5,84.1,22.9,100,0,84,453,37,0,29.8,69.7,41.8,2.25,0,67,122,1247.1,16.1,176.8,60.7
"Plateaux","Amou",270,66,161,38,5,51.5,41.9,100,0,127,514,92,0,34.6,53.2,47,1.9,0,41,133,1608.2,16.8,201.5,49.3
"Plateaux","Anié",270,44,182,35,9,53.7,30.6,100,0,84,580,72,0,40.5,70.7,31.1,2.15,0,24.2,82,2075,13,186.4,30.4
"Plateaux","Danyi",158,53,83,17,5,75.3,29.1,100,0,64,263,27,0,59.4,42.9,40.5,1.66,0,63.9,70,463.2,34.1,132.1,44.3
"Plateaux","Est-Mono",287,66,167,45,9,52.3,34.8,100,0,217,614,87,0,35.5,68.5,75.6,2.14,0,39.5,128,2506.5,11.5,193.9,44.6
"Plateaux","Haho",576,140,361,62,13,55.6,35.9,100,0,295,1402,198,0,47.1,70.5,51.2,2.43,0,38.8,242,3054.7,18.9,172.9,42
"Plateaux","Kloto",311,102,155,41,13,57.2,22.4,100,2,186,560,57,0,48.4,41.1,59.8,1.8,0,65.8,273,576.5,53.9,267.6,87.8
"Plateaux","Kpélé",198,54,117,21,6,69.7,40.4,100,0,105,452,61,0,36.2,59.4,53,2.28,0,46.2,121,928.2,21.3,224.1,61.1
"Plateaux","Moyen-Mono",182,50,107,20,5,72,36.3,100,0,99,414,65,0,13.1,74,54.4,2.27,0,46.7,59,706.5,25.8,118,32.4
"Plateaux","Ogou",373,70,240,50,13,48,41.8,100,0,240,836,140,0,44.6,54.4,64.3,2.24,0,29.2,147,1889.8,19.7,210,39.4
"Plateaux","Wawa",295,66,182,39,8,47.5,24.7,100,0,119,497,65,0,54.6,51.7,40.3,1.68,0,36.3,126,1188.6,24.8,190.9,42.7
"Savanes","Cinkassé",165,53,88,18,6,57,14.5,100,0,169,372,40,0,40.8,53.5,102.4,2.25,0,60.2,104,247.6,66.6,196.2,63
"Savanes","Kpendjal",87,22,54,7,4,69,23.3,100,0,76,155,13,0,15.8,55.1,87.4,1.78,0,40.7,128,1098.4,7.9,581.8,147.1
"Savanes","Kpendjal-Ouest",145,48,81,11,5,71.7,26.2,100,0,156,298,57,0,18.6,58.8,107.6,2.06,0,59.3,0,646.3,22.4,0,0
"Savanes","Oti",223,63,124,30,6,83,30.9,100,0,194,482,70,0,75.3,63,87,2.16,0,50.8,138,1705.2,13.1,219,61.9
"Savanes","Oti-Sud",192,36,137,17,2,89.6,24,100,0,186,398,37,0,69.4,66,96.9,2.07,0,26.3,55,2635.1,7.3,152.8,28.6
"Savanes","Tandjoaré",343,137,155,43,8,77.6,24.5,100,0,259,625,81,0,34,65.3,75.5,1.82,0,88.4,206,939.3,36.5,150.4,60.1
"Savanes","Tône",654,198,353,78,25,66.4,23.2,100,0,523,1519,156,0,22.8,55.4,80,2.32,0,56.1,455,1313.7,49.8,229.8,69.6
