"region","prefecture","commune","deficit_couverture","deficit_infrastructures","deficit_enseignants","deficit_resultats","contrib_couverture","contrib_infrastructures","contrib_enseignants","contrib_resultats","ispe","rang","niveau_priorite","classe","silhouette"
"Centrale","Blitta","Blitta 1",50,47.9,40.4,27.9,34.4,32.9,23.1,9.6,43.7,107,"Satisfaisant",4,0.245
"Centrale","Blitta","Blitta 2",55.7,36,41.2,32.7,39.1,25.3,24.1,11.5,42.7,110,"Satisfaisant",4,0.167
"Centrale","Blitta","Blitta 3",53.6,68.5,41.8,55.3,29,37.1,18.9,15,55.4,57,"À surveiller",2,0.187
"Centrale","Mô","Mô 1",55.8,28.1,53,36.8,38.1,19.2,30.2,12.6,43.9,104,"Satisfaisant",2,-0.027
"Centrale","Mô","Mô 2",58,31.8,53,31.1,38.8,21.3,29.5,10.4,44.9,101,"Satisfaisant",1,0.107
"Centrale","Sotouboua","Sotouboua 1",46.4,65.8,17.9,58.7,29.7,42.1,9.5,18.8,46.9,94,"Modéré",2,0.324
"Centrale","Sotouboua","Sotouboua 2",48.3,48.4,19.8,32.5,37.3,37.4,12.7,12.6,38.8,115,"Satisfaisant",2,0.163
"Centrale","Sotouboua","Sotouboua 3",54.1,55.4,22.9,38.1,36.6,37.5,12.9,12.9,44.3,103,"Satisfaisant",2,0.125
"Centrale","Tchamba","Tchamba 1",70.9,41.2,37.5,23.1,45.8,26.6,20.2,7.5,46.5,96,"Satisfaisant",4,-0.059
"Centrale","Tchamba","Tchamba 2",80.1,27.1,45.8,28.6,50.2,17,23.9,9,47.9,90,"Modéré",1,0.295
"Centrale","Tchamba","Tchamba 3",82.2,54.8,48.2,36.3,42.1,28.1,20.6,9.3,58.6,42,"Prioritaire",1,0.241
"Centrale","Tchaoudjo","Tchaoudjo 1",61.6,53.3,18.9,38.8,41.1,35.5,10.5,12.9,45,100,"Satisfaisant",2,0.088
"Centrale","Tchaoudjo","Tchaoudjo 2",56.7,50.8,11,29.8,43.1,38.6,7,11.3,39.5,113,"Satisfaisant",2,0.083
"Centrale","Tchaoudjo","Tchaoudjo 3",59.4,29.6,12.9,0,59.5,29.7,10.8,0,29.9,117,"Satisfaisant",4,0.27
"Centrale","Tchaoudjo","Tchaoudjo 4",69.7,40.7,24.4,2.6,52.8,30.8,15.4,1,39.6,112,"Satisfaisant",4,0.291
"Kara","Assoli","Assoli 1",59,70.2,43.2,61.7,30.1,35.8,18.4,15.7,58.8,41,"Prioritaire",2,0.237
"Kara","Assoli","Assoli 2",38,62.7,35.7,77.8,22.4,37,17.6,23,50.8,75,"Modéré",2,0.308
"Kara","Assoli","Assoli 3",69.3,34.6,45.9,31.6,43.9,21.9,24.2,10,47.4,91,"Modéré",4,0.114
"Kara","Bassar","Bassar 1",50.6,48.3,51.3,67,28.9,27.6,24.4,19.1,52.5,72,"Modéré",2,0.318
"Kara","Bassar","Bassar 2",50,61,50.2,51.2,28,34.2,23.4,14.3,53.5,68,"À surveiller",2,0.248
"Kara","Bassar","Bassar 3",67.4,64.7,58.2,62.9,31.8,30.5,22.9,14.8,63.6,17,"Très prioritaire",1,0.174
"Kara","Bassar","Bassar 4",59.3,67,54.3,67.7,28.9,32.6,22,16.5,61.6,28,"Prioritaire",2,0.06
"Kara","Binah","Binah 1",40.7,68.7,37.9,59.6,23.8,40.2,18.5,17.4,51.2,74,"Modéré",2,0.394
"Kara","Binah","Binah 2",46.4,39.1,41.7,47.7,32.2,27.1,24.1,16.6,43.2,108,"Satisfaisant",2,0.318
"Kara","Dankpen","Dankpen 1",48.3,72.8,48.7,58,25.3,38.2,21.3,15.2,57.2,47,"Prioritaire",2,0.253
"Kara","Dankpen","Dankpen 2",70.5,39.1,58.5,50.7,38.4,21.3,26.5,13.8,55.1,58,"À surveiller",1,0.339
