"region","prefecture","deficit_couverture","deficit_infrastructures","deficit_enseignants","deficit_resultats","contrib_couverture","contrib_infrastructures","contrib_enseignants","contrib_resultats","ispe","rang","niveau_priorite","classe","silhouette"
"Centrale","Blitta",59.1,52.1,43.6,26.7,36.7,32.4,22.6,8.3,48.3,31,"Modéré",4,-0.018
"Centrale","Mô",65.6,14.1,54.9,15.2,49.3,10.6,34.4,5.7,39.9,38,"Satisfaisant",2,0.235
"Centrale","Sotouboua",52.2,56,23.2,36.4,35.8,38.4,13.3,12.5,43.7,37,"Satisfaisant",1,0.307
"Centrale","Tchamba",100,31.9,46.1,15.8,56.1,17.9,21.6,4.4,53.5,24,"À surveiller",2,0.279
"Centrale","Tchaoudjo",74,48.6,22.1,26.1,48,31.5,12,8.5,46.2,33,"Satisfaisant",1,0.208
"Kara","Assoli",68.7,64.4,44.9,55.8,34.6,32.5,18.9,14.1,59.5,16,"Prioritaire",1,0.402
"Kara","Bassar",63.2,56,54.5,52.5,33.1,29.3,23.8,13.8,57.3,18,"À surveiller",1,0.216
"Kara","Binah",41.1,59.6,41.5,48.2,25.8,37.4,21.7,15.1,47.8,32,"Modéré",1,0.401
"Kara","Dankpen",63.8,56.7,52.7,47.1,33.9,30.2,23.4,12.5,56.4,20,"À surveiller",2,0.022
"Kara","Doufelgou",58.9,63.3,52.8,66,29.6,31.8,22.1,16.6,59.8,15,"Prioritaire",1,0.447
"Kara","Kozah",50.4,50.3,43.7,61.1,30.1,30,21.7,18.2,50.3,29,"Modéré",1,0.48
"Kara","Kéran",69,57.4,62.7,56.2,33.4,27.8,25.3,13.6,62,10,"Prioritaire",1,0.086
"Maritime","Agoè-Nyivé",6.4,76.4,57.9,42.1,4.2,50.2,31.7,13.8,45.6,35,"Satisfaisant",3,0.523
"Maritime","Avé",73,70.3,69.6,62.1,31.4,30.3,25,13.4,69.7,5,"Très prioritaire",2,0.217
"Maritime","Bas-Mono",80.5,30.8,79.7,48.6,39.8,15.2,32.9,12,60.6,12,"Prioritaire",2,0.157
"Maritime","Golfe",0,99.8,62.7,72.6,0,53,27.7,19.3,56.5,19,"À surveiller",3,0.537
"Maritime","Lacs",52.7,72.2,68.4,69.5,24.3,33.3,26.3,16,65,7,"Très prioritaire",1,0.331
"Maritime","Vo",79.9,36.6,64.4,52.6,40.7,18.6,27.3,13.4,58.9,17,"À surveiller",2,0.093
"Maritime","Yoto",94.3,4.7,65.2,53.5,52.4,2.6,30.2,14.9,54,22,"À surveiller",2,0.277
"Maritime","Zio",65.9,63.8,65.2,54.9,31.2,30.2,25.7,13,63.4,8,"Très prioritaire",2,0.167
"Plateaux","Agou",65.8,84.7,62.4,87.6,26.7,34.4,21.1,17.8,73.9,3,"Très prioritaire",1,0.47
"Plateaux","Akébou",50.3,67.1,51.6,53.8,26.9,35.8,23,14.4,56.2,21,"À surveiller",2,0.181
"Plateaux","Amou",79.6,72.7,53.6,68.9,34.4,31.4,19.3,14.9,69.4,6,"Très prioritaire",2,0.029
"Plateaux","Anié",98.9,59.9,63.7,59.4,40.9,24.8,22,12.3,72.5,4,"Très prioritaire",2,0.335
"Plateaux","Danyi",52.3,100,64.3,100,20.4,39.1,20.9,19.5,76.8,2,"Très prioritaire",1,0.388
"Plateaux","Est-Mono",81.7,28.5,56.5,25.4,48.1,16.8,27.7,7.5,51,28,"Modéré",2,0.274
"Plateaux","Haho",81.9,19.5,60.3,45.7,46.9,11.2,28.8,13.1,52.4,25,"Modéré",2,0.433
"Plateaux","Kloto",48.5,98.8,28.6,64.9,23.8,48.5,11.7,15.9,61.1,11,"Prioritaire",1,0.335
"Plateaux","Kpélé",73.3,42.5,45.6,51.6,40.8,23.7,21.2,14.4,53.9,23,"À surveiller",2,0.322
"Plateaux","Moyen-Mono",72.4,46.5,71.3,47.1,35.9,23,29.4,11.7,60.6,12,"Prioritaire",2,0.332
"Plateaux","Ogou",92.7,34.1,56.8,51.8,46.3,17,23.7,12.9,60,14,"Prioritaire",2,0.247
"Plateaux","Wawa",84.2,97.3,57.7,78.1,31.3,36.2,17.9,14.5,80.6,1,"Très prioritaire",1,0.147
"Savanes","Cinkassé",53.7,45.5,48.2,24.7,35.4,30,26.5,8.1,45.5,36,"Satisfaisant",4,0.298
"Savanes","Kpendjal",80.7,85.4,0,0,48.6,51.4,0,0,49.8,30,"Modéré",4,0.04
"Savanes","Kpendjal-Ouest",58.5,45.9,100,45,27.8,21.8,39.6,10.7,63.1,9,"Prioritaire",4,0.197
"Savanes","Oti",68.8,0,45.9,19.9,58.8,0,32.7,8.5,35.1,39,"Satisfaisant",4,0.019
"Savanes","Oti-Sud",97,6.8,68.6,18.5,57,4,33.6,5.4,51.1,26,"Modéré",4,0.032
"Savanes","Tandjoaré",25.2,63,55.2,37.1,16.5,41.2,30.1,12.1,45.8,34,"Satisfaisant",4,-0.011
"Savanes","Tône",59.8,59.1,41.2,34.5,35.1,34.7,20.1,10.1,51.1,26,"Modéré",4,0.175
