"region","prefecture","commune","canton","nom","categorie","est_public","a_terrain_sport","lon","lat"
"Plateaux","Wawa","Wawa 2","Gbadi-N'kougna","EPP Zomenou Kope","Primaire",TRUE,FALSE,0.688615797294303,7.51680938012657
"Plateaux","Moyen-Mono","Moyen-Mono 2","Kpékplémé","JEP Chiyime","Préscolaire",TRUE,FALSE,1.5710239039057,7.30469012771837
"Plateaux","Wawa","Wawa 1","Badou","EPP Badou","Primaire",FALSE,FALSE,0.605553486638507,7.57940496523127
"Plateaux","Kloto","Kloto 1","Womé","Lycée Wome","Collège",TRUE,TRUE,0.579683787777233,6.84435966244501
"Savanes","Tône","Tône 4","Korbongou","CEGIL Tantoga","Primaire",FALSE,FALSE,0.342538333333333,10.96936
"Savanes","Tône","Tône 2","Naki-Ouest","JEP Yobre","Préscolaire",TRUE,FALSE,0.10065546448593,10.9638460666735
"Kara","Dankpen","Dankpen 1","Koulféikou","JEP Koulfiekou Ga","Préscolaire",TRUE,FALSE,0.405473794031637,9.98172556504592
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1","Agoè-Nyivé","CPL Itiyade","Collège",FALSE,FALSE,1.1941381662371,6.22148411144249
"Maritime","Golfe","Golfe 7","Aflao-Sagbado","JEL Emilienne","Préscolaire",FALSE,FALSE,1.13104449394417,6.20988776056424
"Maritime","Golfe","Golfe 3","Bè-Ouest","JEP Cgge","Préscolaire",TRUE,FALSE,1.22531206873756,6.15159560086214
"Savanes","Tône","Tône 1","Dapaong","CPL La Différence","Collège",FALSE,FALSE,0.221824000132175,10.875594432162
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1","Agoè-Nyivé","CS Le Faucon Jardin","Préscolaire",FALSE,FALSE,1.18392551361515,6.24087047246108
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1","Agoè-Nyivé","CS La Solution Idéale Primaire","Primaire",FALSE,FALSE,1.17398749925978,6.24006857589814
"Kara","Kozah","Kozah 3","Awandjélo","JEP Kpalassi","Préscolaire",FALSE,FALSE,1.22980412878152,9.45018034619352
"Savanes","Tône","Tône 2","Namaré","JEP Namare","Préscolaire",FALSE,FALSE,0.088105560495946,10.9909160359791
"Maritime","Golfe","Golfe 3","Bè-Ouest","CPL L'amitié","Collège",FALSE,FALSE,1.22255567820919,6.15077161383517
"Maritime","Golfe","Golfe 3","Bè-Ouest","JEL Le Roseau","Préscolaire",FALSE,FALSE,1.20709460909444,6.16282198061073
"Maritime","Golfe","Golfe 2","Bè-Centre","New Life International School","Lycée",FALSE,FALSE,1.25577410966845,6.19244423766448
"Maritime","Golfe","Golfe 5","Aflao-Gakli","CS Le Triomphe Du Destin 2 Primaire","Primaire",FALSE,FALSE,1.18564810350234,6.19902483302893
"Maritime","Golfe","Golfe 6","Baguida","CPL Tony Victor","Lycée",FALSE,FALSE,1.36740856689479,6.18961180954577
"Maritime","Golfe","Golfe 7","Aflao-Sagbado","EPI Les Jardins Des Vertueux","Primaire",FALSE,FALSE,1.10948391493599,6.19904710113936
"Maritime","Vo","Vo 3","Dagbati","EPC Akoudoukpo","Primaire",FALSE,FALSE,1.462965,6.55495166666664
"Maritime","Vo","Vo 1","Vogan","EPE Le Bon Samaritain","Primaire",FALSE,FALSE,1.52657848268594,6.34564990980105
"Maritime","Yoto","Yoto 2","Ahépé","EPL Aux Ames Bien Nees","Primaire",FALSE,FALSE,1.39233814670896,6.59721359707703
"Plateaux","Ogou","Ogou 3","Gléi","CEPE Adanka","Préscolaire",TRUE,FALSE,1.16454977718857,7.24379308023634
"Kara","Doufelgou","Doufelgou 3","Alloum","JEP Kpasside","Préscolaire",FALSE,FALSE,0.960600228921139,9.72656741272198
"Maritime","Agoè-Nyivé","Agoè-Nyivé 2","Légbassito","CS Ppe Informatique Primaire","Primaire",FALSE,FALSE,1.16251654544078,6.25924195356558
"Savanes","Tandjoaré","Tandjoaré 2","Tampialime","JEP Dadjouare","Préscolaire",TRUE,FALSE,0.0134883333333338,10.7328866666666
"Plateaux","Akébou","Akébou 1","Yalla","EPP Foto Yeye","Primaire",TRUE,FALSE,0.620570000000001,7.78476833333333
"Kara","Binah","Binah 1","Solla","JEP N Gnenekoi","Préscolaire",TRUE,FALSE,1.36125366257014,9.92645468784038
"Savanes","Tône","Tône 4","Sanfatoute","EPP Waldjoague","Primaire",TRUE,TRUE,0.3441296076709,11.0438228787713
"Centrale","Tchamba","Tchamba 3","Kaboli","EDIL Odorin","Primaire",FALSE,FALSE,1.62749990673269,8.65747681059144
"Savanes","Tône","Tône 4","Korbongou","EPP Tomone Momba","Primaire",TRUE,FALSE,0.385954758076572,11.0336123620744
"Plateaux","Kloto","Kloto 3","Kouma","EPC Kuma-dovota","Primaire",FALSE,TRUE,0.595784789945757,7.00690309985312
"Plateaux","Ogou","Ogou 4","Ountivou","EDIL Datcha Agouna","Primaire",FALSE,FALSE,1.63882811339285,7.46568662756424
"Kara","Binah","Binah 1","Pagouda","CEG Madjatom","Collège",TRUE,TRUE,1.3611663469452,9.82095987961127
"Plateaux","Moyen-Mono","Moyen-Mono 2","Saligbé","EPEP Saligbe","Primaire",FALSE,TRUE,1.632281158496,7.22363806900784
"Kara","Binah","Binah 1","Solla","JEP Koukole","Préscolaire",TRUE,FALSE,1.3620841681365,9.97335817804399
"Kara","Binah","Binah 1","Boufalé","JEP Banware","Préscolaire",TRUE,FALSE,1.35991743182668,9.85541506197912
"Plateaux","Ogou","Ogou 1","Djama","EPP Agbonou Koeroma Ge","Primaire",FALSE,FALSE,1.16216354366295,7.51796838264842
"Maritime","Agoè-Nyivé","Agoè-Nyivé 1","Agoè-Nyivé","CS Le Sauveur Maternelle","Préscolaire",FALSE,FALSE,1.1765615781597,6.25013804557976
"Maritime","Agoè-Nyivé","Agoè-Nyivé 3","Vakpossito","CS Jce De L'excellence","Collège",FALSE,FALSE,1.15632477190308,6.2196147073645
