"indicateur","code","annee","valeur"
"Écoles primaires électrifiées (%)","SCHBSP.1.WELEC",2014,14.1713495254517
"Collèges électrifiés (%)","SCHBSP.2.WELEC",2017,65.5606384277344
"Écoles primaires électrifiées (%)","SCHBSP.1.WELEC",2017,24.1831893920898
"Lycées électrifiés (%)","SCHBSP.3.WELEC",2017,81.5724792480469
"Lycées électrifiés (%)","SCHBSP.3.WELEC",2018,82.7740478515625
"Écoles primaires électrifiées (%)","SCHBSP.1.WELEC",2018,24.9530696868896
"Collèges électrifiés (%)","SCHBSP.2.WELEC",2018,53.7110481262207
"Collèges électrifiés (%)","SCHBSP.2.WELEC",2019,43.1590118408203
"Écoles primaires électrifiées (%)","SCHBSP.1.WELEC",2019,22.1407203674316
"Lycées électrifiés (%)","SCHBSP.3.WELEC",2019,59.7560997009277
"Lycées avec assainissement de base (%)","SCHBSP.3.WTOILA",2020,44.1124801635742
"Primaires avec assainissement de base (%)","SCHBSP.1.WTOILA",2020,6.51127004623413
"Collèges électrifiés (%)","SCHBSP.2.WELEC",2020,46.4601783752441
"Écoles primaires électrifiées (%)","SCHBSP.1.WELEC",2020,22.7134494781494
"Lycées électrifiés (%)","SCHBSP.3.WELEC",2020,66.256591796875
"Collèges avec assainissement de base (%)","SCHBSP.2.WTOILA",2020,26.5486698150635
"Collèges électrifiés (%)","SCHBSP.2.WELEC",2021,51.208179473877
"Primaires avec assainissement de base (%)","SCHBSP.1.WTOILA",2021,6.39064979553223
"Lycées électrifiés (%)","SCHBSP.3.WELEC",2021,77.3487777709961
"Écoles primaires électrifiées (%)","SCHBSP.1.WELEC",2021,25.0279693603516
"Collèges avec assainissement de base (%)","SCHBSP.2.WTOILA",2021,25.0929393768311
"Lycées avec assainissement de base (%)","SCHBSP.3.WTOILA",2021,32.3037300109863
"Collèges électrifiés (%)","SCHBSP.2.WELEC",2022,52.0444412231445
"Primaires avec assainissement de base (%)","SCHBSP.1.WTOILA",2022,6.27134990692139
"Collèges avec assainissement de base (%)","SCHBSP.2.WTOILA",2022,24
"Lycées avec assainissement de base (%)","SCHBSP.3.WTOILA",2022,37.7443618774414
"Lycées électrifiés (%)","SCHBSP.3.WELEC",2022,66.165412902832
"Écoles primaires électrifiées (%)","SCHBSP.1.WELEC",2022,28.6603202819824
