"region","prefecture","densite_etab_100km2","completude_offre","jardins_100_primaires","toilettes_100_etab","pct_toilettes_ameliorees","pct_batiments_recents","batiments_par_etab","pct_terrain_sport","biblio_100_etab","ens_100_jardins","enseignants_100_etab"
"Centrale","Blitta",-0.296969231287315,0,0.581842031388195,1.14046005891745,-0.804918295438223,0.081643548290633,-0.170269679567705,-0.0713754247438203,0,0.254867033513333,0.644781818082871
"Centrale","Mô",-0.337493374115185,0,0.229083992627281,0.472138646152872,0.158918963887531,2.04264382247136,-0.655251294965605,1.09529787823788,0,-0.211298486806516,0.0451757961714111
"Centrale","Sotouboua",-0.296462679501967,0,0.9956543460885,0.379956382323276,-0.69511405070491,-0.646150367900153,-0.132963401460174,0.972490162134544,0,1.05434090086188,1.76185605068504
"Centrale","Tchamba",-0.311659233062418,0,-1.86032900618737,0.414524731259374,-0.939123483445607,0.80943746448142,0.948918663658218,0.501727250405086,0,1.03569428004908,-0.37783393161544
"Centrale","Tchaoudjo",-0.267589227737109,0,-0.340755916140352,0.621934824875967,0.329725566806019,-0.767449353931952,0.0908742671850105,0.174240007462854,0,1.67084480148488,1.24849473055537
"Kara","Assoli",-0.284811988438954,0,-0.00834930269256601,0.523991169557021,-0.182694241949445,-1.53567626546667,-0.244882235782766,0.665470871876202,0,0.413363310422082,0.361406369371291
"Kara","Bassar",-0.313178888418463,0,0.351192544506059,-0.420877034696349,0.561534527909682,0.283808525010296,-1.02831407604091,0.481259297721197,0,-0.225283452416112,0.0903515923428225
"Kara","Binah",-0.174890251018356,0,1.53835902110529,0.0285115014729365,0.0430144833356998,-0.262036912132794,-1.02831407604091,0.818980517005373,0,0.173288067457359,0.915836595111339
"Kara","Dankpen",-0.302541300926147,0,0.303705885442089,-0.616764345334242,-0.579209570153079,0.779112717973471,-1.02831407604091,1.26927547605094,0,-0.143704486360138,0.180703184685645
"Kara","Doufelgou",-0.278226815229425,0,0.575058222950485,0.109170982323834,0.0369142475171823,-1.28297004456709,-0.543332460643012,0.992958114818434,0,-0.156524038168934,0.184810075246683
"Kara","Kozah",-0.133353004619789,0,0.941383878586821,0.391479165301975,0.714040423372617,-1.66708350033445,0.0162617109699489,0.859916422373152,0,0.29682193034212,0.591392240789384
"Kara","Kéran",-0.307100266994283,0,-0.00156549425485649,0.276251335514978,-0.658512635793805,-0.363119400492625,-0.282188513890297,0.798512564321483,0,-0.54111059243281,-0.365513259932328
"Maritime","Agoè-Nyivé",2.5,0,0.94816768702453,-0.507297907036596,2.074393010902,1.1227931783969,-2.33403380980449,-2.0567668350811,0,-0.238103004224908,-0.209451418612907
"Maritime","Avé",-0.206803013495304,0,-0.340755916140352,-0.639809911291642,-1.14043126545668,0.314133271518246,-0.282188513890297,0.522195203088976,0,-0.721749731556752,-0.833698783890591
