FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,geometry
_mview_creche_creches.fid--830921d_193d30b9dbd_5e68,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,LOGOPE,Creche Les Precieux,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,{Construit et Utilise},Dans une ecole ou jardin d enfant,POINT (1.175383671385439 6.232605647056791)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e69,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,VAKPOSSITO,Creche Anastasia,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,{Construit et Utilise},Creche Privee,POINT (1.1567163413293873 6.218642072720324)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e6a,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,NANEGBE,Cspl Immaculee Garderie,Néant,N/a,2018,{Ferme},Dans une ecole ou jardin d enfant,POINT (1.1521363973154353 6.228406803256506)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e6b,Maritime,Golfe,Golfe 4,Amoutivé,NYEKONAKPOE,Creche La Perseverance,NYEKONAKPOE,"{lundi,mardi,mercredi,jeudi,vendredi}",2005,N/a,Creche Privee,POINT (1.207685 6.1263000000000005)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e6c,Maritime,Golfe,Golfe 4,Amoutivé,LOMÉ KODOMÉ,Creche Garderie L Ilot Calin,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,{Construit et Utilise},Creche Privee,POINT (1.2063566666666667 6.143296666666667)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e6d,Maritime,Golfe,Golfe 4,Amoutivé,HANOUKOPE,Creche Ami Des Enfants,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,{Construit et Utilise},Creche Privee,POINT (1.2159055799816836 6.134354639583801)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e6e,Maritime,Golfe,Golfe 4,Amoutivé,NYEKONAKPOE,Jardin D Eveil,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,{Construit et Utilise},Creche Privee,POINT (1.205711043833601 6.126465714096562)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e6f,Maritime,Golfe,Golfe 5,Aflao-Gakli,VAKPOSSITO,Ecole International Les Danny S,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,{Construit et Utilise},Creche Privee,POINT (1.1641833333333333 6.211395)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e70,Maritime,Golfe,Golfe 5,Aflao-Gakli,TOTSI,Creche Baby Recre,Nsp,N/a,Nsp,{Construit et Utilise},Creche Privee,POINT (1.192276331498567 6.187822531308085)
_mview_creche_creches.fid--830921d_193d30b9dbd_5e71,Maritime,Golfe,Golfe 5,Aflao-Gakli,AVEDJI,Creche Internationale La Gloire,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Construit et Utilise},Creche Privee,POINT (1.1766342095086928 6.183567910835659)
