FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2027,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,Chiyime,JEP Chiyime,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Moyen-Mono,Non,MEPSTA,POINT (1.5710239039057021 7.304690127718366)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2026,Savanes,Tône,Tône 2,Naki-Ouest,Yobre,JEP Yobre,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Tône-Ouest,Non,MEPSTA,POINT (0.1006554644859302 10.963846066673492)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2025,Kara,Dankpen,Dankpen 1,Koulféikou,Tchagloubi,JEP Koulfiekou Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Dankpen,Non,MEPSTA,POINT (0.4054737940316365 9.981725565045924)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2024,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Gbomame,JEL Emilienne,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Lomé-Ouest,Non,MEPSTA,POINT (1.1310444939441664 6.209887760564237)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2023,Maritime,Golfe,Golfe 3,Bè-Ouest,Tokoin elavagnon,JEP Cgge,O1 BP 2309,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Lomé-Centre,Non,MEPSTA,POINT (1.2253120687375645 6.151595600862142)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2022,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anokui,CS Le Faucon Jardin,Nsp,"{Jeudi,Lundi,Mardi,Mercredi,Vendredi}",Jardin (maternelle),Nsp,IEPP Agoè-Nyivé-Ouest,Non,MEPSTA,POINT (1.1839255136151492 6.240870472461077)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2021,Kara,Kozah,Kozah 3,Awandjélo,Kpalassi,JEP Kpalassi,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Kozah-Sud,Non,MEPSTA,POINT (1.2298041287815165 9.450180346193523)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2020,Savanes,Tône,Tône 2,Namaré,Namare,JEP Namare,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),autre,IEPP Cinkassé,Non,MEPSTA,POINT (0.088105560495946 10.990916035979136)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201f,Maritime,Golfe,Golfe 3,Bè-Ouest,Above,JEL Le Roseau,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Nsp,IEPP Lomé-Centre,Non,MEPSTA,POINT (1.207094609094439 6.162821980610727)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-201e,Plateaux,Ogou,Ogou 3,Gléi,Adanka,CEPE Adanka,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Ogou,Non,MEPSTA,POINT (1.164549777188574 7.243793080236336)
