FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,batiment_nom,batiment_fonction,batiment_annee,geometry
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2abe,Plateaux,Akébou,Akébou 1,Yalla,Bâtiment 3,Salle de classe,2021,"MULTIPOLYGON (((0.6202885871800754 7.784811834285077, 0.620375310622879 7.784818708219468, 0.6203787795605916 7.784667481636777, 0.620285118242364 7.784677792541881, 0.6202885871800754 7.784811834285077)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2abf,Plateaux,Akébou,Akébou 1,Yalla,Bâtiment 1,Salle de classe,2021,"MULTIPOLYGON (((0.6205386460725777 7.78481860344744, 0.6206037801925438 7.7848186034474365, 0.6205946917106876 7.784721052299756, 0.6205416755665287 7.7847225530868105, 0.6205356165786255 7.784724053873864, 0.6205386460725777 7.78481860344744)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac0,Plateaux,Akébou,Akébou 1,Yalla,Bâtiment 2,Salle de classe,2021,"MULTIPOLYGON (((0.6204207321740066 7.784827670174092, 0.6204228256232723 7.784705294981603, 0.6204940028983175 7.784705294981604, 0.620494002898317 7.78482767017409, 0.6204207321740066 7.784827670174092)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac1,Plateaux,Akébou,Akébou 1,Yalla,Bâtiment 1,Salle de classe,1999,"MULTIPOLYGON (((0.6241785694639853 7.78896995914531, 0.6241521223839913 7.788910565497904, 0.6243407782212834 7.788809246903483, 0.6243601727466127 7.788865146820675, 0.6241785694639853 7.78896995914531)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac2,Kara,Binah,Binah 1,Pagouda,Bâtiment 2,Bureau,Nsp,"MULTIPOLYGON (((1.3600196880939357 9.730500438924842, 1.3600146049681772 9.730465368936535, 1.3600868983122965 9.730455905605725, 1.3600942406050585 9.730495428926732, 1.3600196880939357 9.730500438924842)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac3,Kara,Binah,Binah 1,Pagouda,Bâtiment 1,Salle de classe,2013,"MULTIPOLYGON (((1.3605017321248236 9.730904090965122, 1.3605389294971657 9.730908083877225, 1.3605459270226559 9.730770509878237, 1.3605149905941731 9.730764702003684, 1.3605017321248236 9.730904090965122)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac4,Kara,Binah,Binah 1,Boufalé,Bâtiment 1,Salle de classe,2001,"MULTIPOLYGON (((1.35954419918091 9.870792040640083, 1.3595257126218094 9.870687966911234, 1.3598303006908063 9.870649806535747, 1.3598435053758786 9.87075995124386, 1.35954419918091 9.870792040640083)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac5,Kara,Binah,Binah 1,Boufalé,Bâtiment 1,Bâtiment scolaire,2021,"MULTIPOLYGON (((1.3601066666666664 9.87075, 1.360173333333334 9.870718333333334, 1.3601900000000002 9.870749999999997, 1.3601229191680266 9.870778597204412, 1.3601066666666664 9.87075)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac6,Kara,Binah,Binah 1,Boufalé,Bâtiment 1,"Salle de classe, bureau",1996,"MULTIPOLYGON (((1.3602403002192949 9.854825985570725, 1.3602468051198784 9.8547074205662, 1.3599914877719332 9.854689796034867, 1.3599833566462023 9.854819576652654, 1.3602403002192949 9.854825985570725)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac7,Kara,Binah,Binah 1,Boufalé,Bâtiment 2,Non fonctionnel,1986,"MULTIPOLYGON (((1.3600698808172853 9.85542020981455, 1.360050693460603 9.855471707472482, 1.360215941723501 9.855517307857067, 1.3602308265494905 9.855458647198589, 1.3600698808172853 9.85542020981455)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac8,Kara,Binah,Binah 1,Boufalé,Bâtiment 1,Salle de classe,1996,"MULTIPOLYGON (((1.3599448909391423 9.855465590988286, 1.359902853521533 9.855462596984127, 1.3598927240233145 9.85541469291391, 1.3599322290663678 9.855390241875387, 1.3599322290663678 9.855390241875387, 1.3599757859087105 9.855408205903863, 1.3599818636076413 9.85545261697007, 1.3599448909391423 9.855465590988286)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2ac9,Kara,Binah,Binah 1,Pagouda,Bâtiment 1,Salle de classe,2005,"MULTIPOLYGON (((1.360818112055301 9.820969625301974, 1.3608108354745034 9.820877440263768, 1.361175704025875 9.82086719748016, 1.3611767435374167 9.820970649580028, 1.360818112055301 9.820969625301974)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aca,Kara,Binah,Binah 1,Solla,Bâtiment 1,"Salle de classe, bureau, dépôt/magasin",Nsp,"MULTIPOLYGON (((1.360628296432725 9.974455787599704, 1.3608901827509008 9.974468619834546, 1.3608980002529356 9.974361470658051, 1.3606341595592517 9.97435312970271, 1.360628296432725 9.974455787599704)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2acb,Kara,Binah,Binah 1,Solla,Bâtiment 1,"Salle de classe, dépôt/magasin",2018,"MULTIPOLYGON (((1.3620606682492225 9.973329110029356, 1.3621323455244194 9.973359103385736, 1.3621509147666988 9.973322891894151, 1.3620796088763465 9.973292898534444, 1.3620606682492225 9.973329110029356)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2acc,Kara,Binah,Binah 1,Solla,Bâtiment 1,Salle de classe,2018,"MULTIPOLYGON (((1.3612307645535646 9.926499551768158, 1.3613330687886172 9.926503823443708, 1.361322621535327 9.926411982407076, 1.3612368752111499 9.926409264067336, 1.3612307645535646 9.926499551768158)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2acd,Savanes,Cinkassé,Cinkassé 1,Boadé,Bâtiment 4,Salle de classe,2021,"MULTIPOLYGON (((-0.014483011365734 11.1156072062654, -0.0141294939067741 11.1156226922265, -0.0141294939067741 11.1157310939309, -0.0144877459745596 11.1157202537622, -0.014483011365734 11.1156072062654)))"
