FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,terrain,etablissment_tutelle_autre,sport,terrain_sport,geometry
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cae,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Lycée Agoe,Dans une école,Nsp,2,"{Football,Basketball}","MULTIPOLYGON (((1.1941046104370878 6.2219026939848865, 1.1941046104370878 6.2219026939848865, 1.194063563587264 6.222403235910359, 1.194605382004937 6.222438600267497, 1.1946573746813802 6.2219162956739416, 1.1941046104370878 6.2219026939848865)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cad,Maritime,Golfe,Golfe 3,Bè-Ouest,Université De Lome,Dans une école,Nsp,1,{Basketball},"MULTIPOLYGON (((1.2114376509710172 6.186464634037685, 1.2115223914570785 6.186509766354815, 1.2116358831794816 6.186309679719544, 1.2115466030245245 6.1862765826748305, 1.2114376509710172 6.186464634037685)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cac,Maritime,Golfe,Golfe 3,Bè-Ouest,Universite De Lome,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.218115272545411 6.170760055973319, 1.2181540349787732 6.171787730760597, 1.2176070539746613 6.171826268526346, 1.217555370730178 6.170798593813809, 1.218115272545411 6.170760055973319)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-cab,Maritime,Golfe,Golfe 3,Bè-Ouest,Universite De Lome,Dans une école,Nsp,1,{Basketball},"MULTIPOLYGON (((1.2170722177575475 6.16967559951852, 1.2172418433350822 6.169615902841331, 1.2171382666549933 6.1693144345188085, 1.216962636632232 6.169383085736044, 1.2170722177575475 6.16967559951852)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-caa,Maritime,Golfe,Golfe 3,Bè-Ouest,Campus Sud,Dans une école,Nsp,3,"{Handball,autre}","MULTIPOLYGON (((1.2163370288043225 6.169722777559816, 1.2165417354936572 6.169746613352881, 1.216589684808276 6.169365240535196, 1.2163831339145328 6.169341404724979, 1.2163370288043225 6.169722777559816)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca9,Maritime,Golfe,Golfe 3,Bè-Ouest,Campus ,Dans une école,Nsp,1,{Volleyball},"MULTIPOLYGON (((1.211596805079803 6.186165076820809, 1.2116877400348869 6.1862083695659225, 1.2117684287978487 6.186023738716491, 1.2116800553907952 6.185985539222351, 1.211596805079803 6.186165076820809)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca8,Maritime,Avé,Avé 2,Badja,Agove,Dans une école,Nsp,2,"{Football,Atheltisme}","MULTIPOLYGON (((0.9802931497151155 6.344604362820731, 0.9806382250238964 6.345031745810651, 0.981612399164839 6.344577981143073, 0.9812779415578669 6.344010774746698, 0.9802931497151155 6.344604362820731)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca7,Maritime,Yoto,Yoto 1,Amoussimé,Amegnonakondji,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.4948183333333334 6.645868333333334, 1.495096666666667 6.646235, 1.4946133333333331 6.64686, 1.4943295969934638 6.646454349819698, 1.4948183333333334 6.645868333333334)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca6,Maritime,Yoto,Yoto 1,Amoussimé,Aklobi Kondji,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.502196551302796 6.635614687518103, 1.5019844896689505 6.63507834906382, 1.5024210871503996 6.634920810594996, 1.5026153284788812 6.635451838940264, 1.502196551302796 6.635614687518103)))"
_mview_general_terrains_sport.fid--830921d_193db4998a0_-ca5,Maritime,Yoto,Yoto 1,Tabligbo,Kpokpokondi,Dans une école,Nsp,1,{Football},"MULTIPOLYGON (((1.51038 6.604786666666667, 1.5104071822113405 6.604951480963401, 1.5098907201958687 6.605010249579865, 1.5098715327525694 6.604857768830817, 1.51038 6.604786666666667)))"
